upc,product,size,product_label
1600067110,BIG G OATMEAL CRISP,15.5OZ,BIG G OATMEAL CRISP | 15.5OZ | 1600067110
1600067720,BIG G TRAIL SIZE PAL,1.0,BIG G TRAIL SIZE PAL | 1.0 | 1600067720
3000006860,QKR CRNCHY CORN BRAN,16 OZ,QKR CRNCHY CORN BRAN | 16 OZ | 3000006860
3000007840,QUAKER OH'S HONEY GR,12 OZ,QUAKER OH'S HONEY GR | 12 OZ | 3000007840
3800001510,KELLOGG'S FROSTED FL,15 OZ,KELLOGG'S FROSTED FL | 15 OZ | 3800001510
1780014986,RALSTON DOUBLE CHEX,13.75O,RALSTON DOUBLE CHEX | 13.75O | 1780014986
4300011313,POST/NATURAL BRAN FL,16 OZ,POST/NATURAL BRAN FL | 16 OZ | 4300011313
1600065490,CLUSTERS TRIAL SIZE,1.7OZ,CLUSTERS TRIAL SIZE | 1.7OZ | 1600065490
1600065620,G.M. FIBER ONE,16 OZ,G.M. FIBER ONE | 16 OZ | 1600065620
3828125121,DOM COCOA CRUNCHIES,13.7 O,DOM COCOA CRUNCHIES | 13.7 O | 3828125121
3828198033,DOM FRUITY HO-HO-HO',15 OZ,DOM FRUITY HO-HO-HO' | 15 OZ | 3828198033
4300010442,POST FRUIT & FIBRE P,15 OZ,POST FRUIT & FIBRE P | 15 OZ | 4300010442
3000006400,QUAKER JUMBO OAT SQU,26 OZ,QUAKER JUMBO OAT SQU | 26 OZ | 3000006400
3000006430,QUAKER OAT SQUARES,16 OZ,QUAKER OAT SQUARES | 16 OZ | 3000006430
1780030180,BREAKFAST ON THE RUN,1.25 O,BREAKFAST ON THE RUN | 1.25 O | 1780030180
2480000119,KRETSCHMER WHEAT GER,12 OZ,KRETSCHMER WHEAT GER | 12 OZ | 2480000119
3800002910,KELLOGG'S APPLE JACK,11 OZ,KELLOGG'S APPLE JACK | 11 OZ | 3800002910
3800002911,KELL APPLE JACKS PP,10.9 O,KELL APPLE JACKS PP | 10.9 O | 3800002911
3828125069,DOM MAGIC STARS CERE,14 OZ,DOM MAGIC STARS CERE | 14 OZ | 3828125069
1600069820,GEN MLLS FRENCH TOAS,15.75O,GEN MLLS FRENCH TOAS | 15.75O | 1600069820
1600085970,~RAISIN NUT BRAN,14.5 O,~RAISIN NUT BRAN | 14.5 O | 1600085970
1600097110,GM OATML RSN CRSP AP,17.5 O,GM OATML RSN CRSP AP | 17.5 O | 1600097110
1600097140,GM OATML RSN CRSP AL,17.5 O,GM OATML RSN CRSP AL | 17.5 O | 1600097140
4300018032,~NABISCO 100% BRAN,17 OZ,~NABISCO 100% BRAN | 17 OZ | 4300018032
4300018050,POST SPOON SIZE SHRD,23.6 O,POST SPOON SIZE SHRD | 23.6 O | 4300018050
5537050440,LFSTREAM BRY GRANOLA,14.9OZ,LFSTREAM BRY GRANOLA | 14.9OZ | 5537050440
3800001211,KELLOGGS HONEY SMACK,17.6 O,KELLOGGS HONEY SMACK | 17.6 O | 3800001211
3800001411,KELLOGGS ALL BRAN,18.3 O,KELLOGGS ALL BRAN | 18.3 O | 3800001411
1313000148,NABISCO TEAM FLAKES,13 OZ,NABISCO TEAM FLAKES | 13 OZ | 1313000148
1780013741,GRAHAM CHEX 40% BONU,21.7 O,GRAHAM CHEX 40% BONU | 21.7 O | 1780013741
1780013806,JETSON CEREAL,14 OZ,JETSON CEREAL | 14 OZ | 1780013806
1780015011,RALSTON/WHEAT CHEX,16 OZ,RALSTON/WHEAT CHEX | 16 OZ | 1780015011
1780018704,TEENAGE MUTANT NINJA,12.5OZ,TEENAGE MUTANT NINJA | 12.5OZ | 1780018704
3800012900,KELLOGGS HEARTWISE W,14 OZ,KELLOGGS HEARTWISE W | 14 OZ | 3800012900
3800013900,KELLOGGS RICE KRISPI,14.8,KELLOGGS RICE KRISPI | 14.8 | 3800013900
3800005220,KELLOGG'S  FUN PAK,8.56 O,KELLOGG'S  FUN PAK | 8.56 O | 3800005220
3800010601,~NUTRI GRAIN ALMOND,17.2 O,~NUTRI GRAIN ALMOND | 17.2 O | 3800010601
3800010800,KELLOGGS NUTRIGRAIN,12.1 O,KELLOGGS NUTRIGRAIN | 12.1 O | 3800010800
3800010901,KELLOGG'S NUTRI-GRAI,13 OZ,KELLOGG'S NUTRI-GRAI | 13 OZ | 3800010901
1600065400,SMORES CRUNCH CEREAL,14 OZ,SMORES CRUNCH CEREAL | 14 OZ | 1600065400
1600065600,G.M. FIBER ONE,16 OZ,G.M. FIBER ONE | 16 OZ | 1600065600
4300010200,POST BLUEBERRY MORNI,13.5OZ,POST BLUEBERRY MORNI | 13.5OZ | 4300010200
4300010370,POST WAFFLE CRISP,13.75O,POST WAFFLE CRISP | 13.75O | 4300010370
3000006560,CAPN CRUNCH JUMBO CR,15 OZ,CAPN CRUNCH JUMBO CR | 15 OZ | 3000006560
3800014400,~KELL APPLE CIN RICE,16.2 O,~KELL APPLE CIN RICE | 16.2 O | 3800014400
3800016830,KLLG HNY CRUNCH CORN,21.3 O,KLLG HNY CRUNCH CORN | 21.3 O | 3800016830
3800032100,KELLOGGS POP TARTS S,11 OZ,KELLOGGS POP TARTS S | 11 OZ | 3800032100
1780019541,RALSTON CORN CHEX,12 OZ,RALSTON CORN CHEX | 12 OZ | 1780019541
2430003175,SUNBELT MUESLI CEREA,14 OZ,SUNBELT MUESLI CEREA | 14 OZ | 2430003175
3828125045,DOM CRISPY RICE,13 OZ,DOM CRISPY RICE | 13 OZ | 3828125045
1600068790,MULTI GRAIN CHEERIOS,16 OZ,MULTI GRAIN CHEERIOS | 16 OZ | 1600068790
1600068890,LUCKY CHARMS,20 OZ,LUCKY CHARMS | 20 OZ | 1600068890
3800008600,KELLOGGS SW GRAHAMS,15.8 O,KELLOGGS SW GRAHAMS | 15.8 O | 3800008600
