upc,product,size,observations,stores,weeks,elasticity,clustered_se,ci_lower,ci_upper,r_squared,demand_type,revenue_effect_of_price_increase,model_id
1600066610,CHEERIOS,15 OZ,29679,93,366,-1.5567899019064673,0.10318916365187016,-1.7590369462589424,-1.3545428575539922,0.833314463650391,Elastic,Revenue likely decreases,portfolio_binary_promo
1600066590,HONEY NUT CHEERIOS,14 OZ,29537,93,366,-0.817360512706814,0.11893739187830234,-1.0504735172034132,-0.5842475082102146,0.8104864083553313,Inelastic,Revenue likely increases,portfolio_binary_promo
3800001520,KELLOGG'S FROSTED FL,20 OZ,29690,93,366,-1.8407411716527613,0.19309656081316445,-2.219203476385112,-1.4622788669204105,0.7875034556232674,Elastic,Revenue likely decreases,portfolio_binary_promo
3800001720,KELLOGGS FRUIT LOOPS,15 OZ,29724,93,366,-1.7729348591208194,0.18130279580738778,-2.128281809199719,-1.41758790904192,0.7841403238073933,Elastic,Revenue likely decreases,portfolio_binary_promo
3800000120,KELLOGGS CORN FLAKES,18 OZ,29787,93,366,-1.8051825909711732,0.12211445696583381,-2.044522528615874,-1.5658426533264727,0.8372061033575803,Elastic,Revenue likely decreases,portfolio_binary_promo
1600066510,CHEERIOS,10 OZ,29379,93,366,-0.7940091848797765,0.23032034497467282,-1.245428765936976,-0.3425896038225769,0.7569238696307958,Inelastic,Revenue likely increases,portfolio_binary_promo
3800001510,KELLOGG'S FROSTED FL,15 OZ,29654,93,366,-1.6392487429686582,0.2918903720381039,-2.211343359597339,-1.0671541263399773,0.7436132066265209,Elastic,Revenue likely decreases,portfolio_binary_promo
3800001621,KELLOGGS SPECIAL K,18 OZ,29773,93,366,-1.4744590570605958,0.24290950676992845,-1.950552941832044,-0.9983651722891476,0.7398814036319206,Elastic,Revenue likely decreases,portfolio_binary_promo
3800001011,KELLOGGS CORN POPS,15 OZ,29723,93,366,-1.27650104457349,0.21566030658327925,-1.6991874783715835,-0.8538146107753962,0.7515244226729134,Elastic,Revenue likely decreases,portfolio_binary_promo
3800001611,KELLOGGS SPECIAL K,12 OZ,29771,93,366,-1.1989576419064125,0.18618005149426192,-1.5638638374749785,-0.8340514463378466,0.7487854612420857,Elastic,Revenue likely decreases,portfolio_binary_promo
